Date,Chemical,Crop,Rate,Chemical
4/3/1993,0.019584,Almond, Max Labeled Rate,Chlorpyrifos
4/4/1993,0.015649,Almond, Max Labeled Rate,Chlorpyrifos
4/5/1993,0.015288,Almond, Max Labeled Rate,Chlorpyrifos
4/6/1993,0.015018,Almond, Max Labeled Rate,Chlorpyrifos
4/7/1993,0.014757,Almond, Max Labeled Rate,Chlorpyrifos
4/8/1993,0.014499,Almond, Max Labeled Rate,Chlorpyrifos
4/9/1993,0.014246,Almond, Max Labeled Rate,Chlorpyrifos
4/10/1993,0.013993,Almond, Max Labeled Rate,Chlorpyrifos
4/11/1993,12.345,Almond, Max Labeled Rate,Chlorpyrifos
4/12/1993,0.23591,Almond, Max Labeled Rate,Chlorpyrifos
4/13/1993,0.022272,Almond, Max Labeled Rate,Chlorpyrifos
4/14/1993,0.016671,Almond, Max Labeled Rate,Chlorpyrifos
4/15/1993,0.016246,Almond, Max Labeled Rate,Chlorpyrifos
4/16/1993,0.015955,Almond, Max Labeled Rate,Chlorpyrifos
4/17/1993,24.153,Almond, Max Labeled Rate,Chlorpyrifos
4/18/1993,0.27306,Almond, Max Labeled Rate,Chlorpyrifos
4/19/1993,0.028266,Almond, Max Labeled Rate,Chlorpyrifos
4/20/1993,0.021801,Almond, Max Labeled Rate,Chlorpyrifos
4/21/1993,0.021267,Almond, Max Labeled Rate,Chlorpyrifos
4/22/1993,1.0278,Almond, Max Labeled Rate,Chlorpyrifos
4/23/1993,0.044954,Almond, Max Labeled Rate,Chlorpyrifos
4/24/1993,0.021038,Almond, Max Labeled Rate,Chlorpyrifos
4/25/1993,0.020092,Almond, Max Labeled Rate,Chlorpyrifos
4/26/1993,0.01972,Almond, Max Labeled Rate,Chlorpyrifos
4/27/1993,6.3789,Almond, Max Labeled Rate,Chlorpyrifos
4/28/1993,0.14623,Almond, Max Labeled Rate,Chlorpyrifos
4/29/1993,0.023634,Almond, Max Labeled Rate,Chlorpyrifos
4/30/1993,0.020229,Almond, Max Labeled Rate,Chlorpyrifos
5/1/1993,0.019794,Almond, Max Labeled Rate,Chlorpyrifos
5/2/1993,0.019439,Almond, Max Labeled Rate,Chlorpyrifos
5/3/1993,0.019089,Almond, Max Labeled Rate,Chlorpyrifos
5/4/1993,0.018747,Almond, Max Labeled Rate,Chlorpyrifos
5/5/1993,0.01841,Almond, Max Labeled Rate,Chlorpyrifos
5/6/1993,0.25658,Almond, Max Labeled Rate,Chlorpyrifos
5/7/1993,0.023667,Almond, Max Labeled Rate,Chlorpyrifos
5/8/1993,0.017651,Almond, Max Labeled Rate,Chlorpyrifos
5/9/1993,0.017195,Almond, Max Labeled Rate,Chlorpyrifos
5/10/1993,0.016881,Almond, Max Labeled Rate,Chlorpyrifos
5/11/1993,0.016574,Almond, Max Labeled Rate,Chlorpyrifos
5/12/1993,0.016272,Almond, Max Labeled Rate,Chlorpyrifos
5/13/1993,0.015975,Almond, Max Labeled Rate,Chlorpyrifos
5/14/1993,0.015689,Almond, Max Labeled Rate,Chlorpyrifos
5/15/1993,0.015402,Almond, Max Labeled Rate,Chlorpyrifos
5/16/1993,0.01512,Almond, Max Labeled Rate,Chlorpyrifos
5/17/1993,0.014847,Almond, Max Labeled Rate,Chlorpyrifos
5/18/1993,0.014579,Almond, Max Labeled Rate,Chlorpyrifos
5/19/1993,0.014309,Almond, Max Labeled Rate,Chlorpyrifos
5/20/1993,0.01405,Almond, Max Labeled Rate,Chlorpyrifos
5/21/1993,0.013793,Almond, Max Labeled Rate,Chlorpyrifos
5/22/1993,0.013544,Almond, Max Labeled Rate,Chlorpyrifos
5/23/1993,0.0133,Almond, Max Labeled Rate,Chlorpyrifos
5/24/1993,0.013055,Almond, Max Labeled Rate,Chlorpyrifos
5/25/1993,0.012815,Almond, Max Labeled Rate,Chlorpyrifos
5/26/1993,0.012582,Almond, Max Labeled Rate,Chlorpyrifos
5/27/1993,0.012351,Almond, Max Labeled Rate,Chlorpyrifos
5/28/1993,0.012127,Almond, Max Labeled Rate,Chlorpyrifos
5/29/1993,0.011901,Almond, Max Labeled Rate,Chlorpyrifos
5/30/1993,0.011684,Almond, Max Labeled Rate,Chlorpyrifos
5/31/1993,0.011468,Almond, Max Labeled Rate,Chlorpyrifos
6/1/1993,0.061517,Almond, Max Labeled Rate,Chlorpyrifos
6/2/1993,0.012303,Almond, Max Labeled Rate,Chlorpyrifos
6/3/1993,0.010895,Almond, Max Labeled Rate,Chlorpyrifos
6/4/1993,0.010667,Almond, Max Labeled Rate,Chlorpyrifos
6/5/1993,0.010468,Almond, Max Labeled Rate,Chlorpyrifos
6/6/1993,0.072847,Almond, Max Labeled Rate,Chlorpyrifos
6/7/1993,0.011646,Almond, Max Labeled Rate,Chlorpyrifos
6/8/1993,0.0099606,Almond, Max Labeled Rate,Chlorpyrifos
6/9/1993,0.009736,Almond, Max Labeled Rate,Chlorpyrifos
6/10/1993,0.0095521,Almond, Max Labeled Rate,Chlorpyrifos
6/11/1993,0.0093805,Almond, Max Labeled Rate,Chlorpyrifos
6/12/1993,0.0092118,Almond, Max Labeled Rate,Chlorpyrifos
6/13/1993,0.0090427,Almond, Max Labeled Rate,Chlorpyrifos
6/14/1993,0.0088751,Almond, Max Labeled Rate,Chlorpyrifos
6/15/1993,0.008709,Almond, Max Labeled Rate,Chlorpyrifos
6/16/1993,0.0085468,Almond, Max Labeled Rate,Chlorpyrifos
6/17/1993,0.008392,Almond, Max Labeled Rate,Chlorpyrifos
6/18/1993,0.0082354,Almond, Max Labeled Rate,Chlorpyrifos
6/19/1993,0.008081,Almond, Max Labeled Rate,Chlorpyrifos
6/20/1993,0.0079297,Almond, Max Labeled Rate,Chlorpyrifos
6/21/1993,1.1657,Almond, Max Labeled Rate,Chlorpyrifos
6/22/1993,0.03473,Almond, Max Labeled Rate,Chlorpyrifos
6/23/1993,0.0084803,Almond, Max Labeled Rate,Chlorpyrifos
6/24/1993,0.0076939,Almond, Max Labeled Rate,Chlorpyrifos
6/25/1993,0.0075323,Almond, Max Labeled Rate,Chlorpyrifos
6/26/1993,0.0073875,Almond, Max Labeled Rate,Chlorpyrifos
6/27/1993,0.0072492,Almond, Max Labeled Rate,Chlorpyrifos
6/28/1993,0.0071117,Almond, Max Labeled Rate,Chlorpyrifos
6/29/1993,0.0069784,Almond, Max Labeled Rate,Chlorpyrifos
6/30/1993,0.0068464,Almond, Max Labeled Rate,Chlorpyrifos
7/1/1993,0.0067152,Almond, Max Labeled Rate,Chlorpyrifos
7/2/1993,0.0065843,Almond, Max Labeled Rate,Chlorpyrifos
7/3/1993,0.0064576,Almond, Max Labeled Rate,Chlorpyrifos
7/4/1993,0.0063357,Almond, Max Labeled Rate,Chlorpyrifos
7/5/1993,0.0062158,Almond, Max Labeled Rate,Chlorpyrifos
7/6/1993,0.0060928,Almond, Max Labeled Rate,Chlorpyrifos
7/7/1993,0.0059754,Almond, Max Labeled Rate,Chlorpyrifos
7/8/1993,0.005861,Almond, Max Labeled Rate,Chlorpyrifos
7/9/1993,0.0057462,Almond, Max Labeled Rate,Chlorpyrifos
7/10/1993,0.0056326,Almond, Max Labeled Rate,Chlorpyrifos
7/11/1993,3.551,Almond, Max Labeled Rate,Chlorpyrifos
7/12/1993,0.074142,Almond, Max Labeled Rate,Chlorpyrifos
7/13/1993,0.0079879,Almond, Max Labeled Rate,Chlorpyrifos
7/14/1993,0.0062369,Almond, Max Labeled Rate,Chlorpyrifos
7/15/1993,0.0060715,Almond, Max Labeled Rate,Chlorpyrifos
7/16/1993,0.0059491,Almond, Max Labeled Rate,Chlorpyrifos
7/17/1993,0.0058329,Almond, Max Labeled Rate,Chlorpyrifos
7/18/1993,0.0057236,Almond, Max Labeled Rate,Chlorpyrifos
7/19/1993,0.0056086,Almond, Max Labeled Rate,Chlorpyrifos
7/20/1993,0.0054962,Almond, Max Labeled Rate,Chlorpyrifos
7/21/1993,0.0053889,Almond, Max Labeled Rate,Chlorpyrifos
7/22/1993,0.005283,Almond, Max Labeled Rate,Chlorpyrifos
7/23/1993,0.00518,Almond, Max Labeled Rate,Chlorpyrifos
7/24/1993,0.0050814,Almond, Max Labeled Rate,Chlorpyrifos
7/25/1993,0.0049829,Almond, Max Labeled Rate,Chlorpyrifos
7/26/1993,0.0048809,Almond, Max Labeled Rate,Chlorpyrifos
7/27/1993,0.030134,Almond, Max Labeled Rate,Chlorpyrifos
7/28/1993,0.0053212,Almond, Max Labeled Rate,Chlorpyrifos
7/29/1993,0.0046231,Almond, Max Labeled Rate,Chlorpyrifos
7/30/1993,0.0045173,Almond, Max Labeled Rate,Chlorpyrifos
7/31/1993,0.0044284,Almond, Max Labeled Rate,Chlorpyrifos
8/1/1993,0.0043439,Almond, Max Labeled Rate,Chlorpyrifos
8/2/1993,0.0042568,Almond, Max Labeled Rate,Chlorpyrifos
8/3/1993,0.004172,Almond, Max Labeled Rate,Chlorpyrifos
8/4/1993,0.0040916,Almond, Max Labeled Rate,Chlorpyrifos
8/5/1993,0.0040112,Almond, Max Labeled Rate,Chlorpyrifos
8/6/1993,0.0039348,Almond, Max Labeled Rate,Chlorpyrifos
8/7/1993,0.0038584,Almond, Max Labeled Rate,Chlorpyrifos
8/8/1993,0.0037827,Almond, Max Labeled Rate,Chlorpyrifos
8/9/1993,0.0037109,Almond, Max Labeled Rate,Chlorpyrifos
8/10/1993,0.0036384,Almond, Max Labeled Rate,Chlorpyrifos
8/11/1993,0.0035677,Almond, Max Labeled Rate,Chlorpyrifos
8/12/1993,0.0034983,Almond, Max Labeled Rate,Chlorpyrifos
8/13/1993,0.0034327,Almond, Max Labeled Rate,Chlorpyrifos
8/14/1993,0.0033673,Almond, Max Labeled Rate,Chlorpyrifos
8/15/1993,0.0033025,Almond, Max Labeled Rate,Chlorpyrifos
8/16/1993,0.0032379,Almond, Max Labeled Rate,Chlorpyrifos
8/17/1993,0.0031743,Almond, Max Labeled Rate,Chlorpyrifos
8/18/1993,0.0031136,Almond, Max Labeled Rate,Chlorpyrifos
8/19/1993,0.0030556,Almond, Max Labeled Rate,Chlorpyrifos
8/20/1993,10.35,Almond, Max Labeled Rate,Chlorpyrifos
8/21/1993,0.17492,Almond, Max Labeled Rate,Chlorpyrifos
8/22/1993,0.010047,Almond, Max Labeled Rate,Chlorpyrifos
8/23/1993,0.0058624,Almond, Max Labeled Rate,Chlorpyrifos
8/24/1993,0.0056482,Almond, Max Labeled Rate,Chlorpyrifos
8/25/1993,0.0055367,Almond, Max Labeled Rate,Chlorpyrifos
8/26/1993,0.0054333,Almond, Max Labeled Rate,Chlorpyrifos
8/27/1993,0.0053283,Almond, Max Labeled Rate,Chlorpyrifos
8/28/1993,0.0052244,Almond, Max Labeled Rate,Chlorpyrifos
8/29/1993,0.0051239,Almond, Max Labeled Rate,Chlorpyrifos
8/30/1993,0.0050267,Almond, Max Labeled Rate,Chlorpyrifos
8/31/1993,0.0049278,Almond, Max Labeled Rate,Chlorpyrifos
9/1/1993,0.0048338,Almond, Max Labeled Rate,Chlorpyrifos
9/2/1993,7.3932,Almond, Max Labeled Rate,Chlorpyrifos
9/3/1993,0.19305,Almond, Max Labeled Rate,Chlorpyrifos
9/4/1993,3.0664,Almond, Max Labeled Rate,Chlorpyrifos
9/5/1993,0.07281,Almond, Max Labeled Rate,Chlorpyrifos
9/6/1993,0.0089457,Almond, Max Labeled Rate,Chlorpyrifos
9/7/1993,0.007228,Almond, Max Labeled Rate,Chlorpyrifos
9/8/1993,0.0070485,Almond, Max Labeled Rate,Chlorpyrifos
9/9/1993,0.0069082,Almond, Max Labeled Rate,Chlorpyrifos
9/10/1993,0.0067722,Almond, Max Labeled Rate,Chlorpyrifos
9/11/1993,0.0066415,Almond, Max Labeled Rate,Chlorpyrifos
9/12/1993,0.0065179,Almond, Max Labeled Rate,Chlorpyrifos
9/13/1993,0.0063919,Almond, Max Labeled Rate,Chlorpyrifos
9/14/1993,0.0062682,Almond, Max Labeled Rate,Chlorpyrifos
9/15/1993,0.0061479,Almond, Max Labeled Rate,Chlorpyrifos
9/16/1993,0.0060308,Almond, Max Labeled Rate,Chlorpyrifos
9/17/1993,0.0059148,Almond, Max Labeled Rate,Chlorpyrifos
9/18/1993,0.005805,Almond, Max Labeled Rate,Chlorpyrifos
9/19/1993,0.0056931,Almond, Max Labeled Rate,Chlorpyrifos
9/20/1993,0.0055865,Almond, Max Labeled Rate,Chlorpyrifos
9/21/1993,0.0054783,Almond, Max Labeled Rate,Chlorpyrifos
9/22/1993,0.0053742,Almond, Max Labeled Rate,Chlorpyrifos
9/23/1993,0.0052728,Almond, Max Labeled Rate,Chlorpyrifos
9/24/1993,0.0051726,Almond, Max Labeled Rate,Chlorpyrifos
9/25/1993,0.0050765,Almond, Max Labeled Rate,Chlorpyrifos
9/26/1993,4.505,Almond, Max Labeled Rate,Chlorpyrifos
9/27/1993,0.089534,Almond, Max Labeled Rate,Chlorpyrifos
9/28/1993,1.3565,Almond, Max Labeled Rate,Chlorpyrifos
9/29/1993,0.036931,Almond, Max Labeled Rate,Chlorpyrifos
9/30/1993,0.0070042,Almond, Max Labeled Rate,Chlorpyrifos
10/1/1993,0.0061494,Almond, Max Labeled Rate,Chlorpyrifos
10/2/1993,0.0060163,Almond, Max Labeled Rate,Chlorpyrifos
10/3/1993,0.20947,Almond, Max Labeled Rate,Chlorpyrifos
10/4/1993,0.010816,Almond, Max Labeled Rate,Chlorpyrifos
10/5/1993,0.0058711,Almond, Max Labeled Rate,Chlorpyrifos
10/6/1993,0.0056472,Almond, Max Labeled Rate,Chlorpyrifos
10/7/1993,0.0055399,Almond, Max Labeled Rate,Chlorpyrifos
10/8/1993,0.0054384,Almond, Max Labeled Rate,Chlorpyrifos
10/9/1993,0.0053387,Almond, Max Labeled Rate,Chlorpyrifos
10/10/1993,0.0052403,Almond, Max Labeled Rate,Chlorpyrifos
10/11/1993,0.0051454,Almond, Max Labeled Rate,Chlorpyrifos
10/12/1993,0.84798,Almond, Max Labeled Rate,Chlorpyrifos
10/13/1993,0.71242,Almond, Max Labeled Rate,Chlorpyrifos
10/14/1993,0.021906,Almond, Max Labeled Rate,Chlorpyrifos
10/15/1993,0.005629,Almond, Max Labeled Rate,Chlorpyrifos
10/16/1993,0.0051323,Almond, Max Labeled Rate,Chlorpyrifos
10/17/1993,0.005029,Almond, Max Labeled Rate,Chlorpyrifos
10/18/1993,0.0049373,Almond, Max Labeled Rate,Chlorpyrifos
10/19/1993,0.0048491,Almond, Max Labeled Rate,Chlorpyrifos
10/20/1993,0.025413,Almond, Max Labeled Rate,Chlorpyrifos
10/21/1993,0.24673,Almond, Max Labeled Rate,Chlorpyrifos
10/22/1993,0.01053,Almond, Max Labeled Rate,Chlorpyrifos
10/23/1993,0.0047276,Almond, Max Labeled Rate,Chlorpyrifos
10/24/1993,0.0045033,Almond, Max Labeled Rate,Chlorpyrifos
10/25/1993,0.0044193,Almond, Max Labeled Rate,Chlorpyrifos
10/26/1993,0.004339,Almond, Max Labeled Rate,Chlorpyrifos
10/27/1993,0.0042614,Almond, Max Labeled Rate,Chlorpyrifos
10/28/1993,0.0041844,Almond, Max Labeled Rate,Chlorpyrifos
10/29/1993,0.004109,Almond, Max Labeled Rate,Chlorpyrifos
10/30/1993,0.0040353,Almond, Max Labeled Rate,Chlorpyrifos
10/31/1993,2.0837,Almond, Max Labeled Rate,Chlorpyrifos
11/1/1993,2.5141,Almond, Max Labeled Rate,Chlorpyrifos
11/2/1993,0.052252,Almond, Max Labeled Rate,Chlorpyrifos
11/3/1993,0.0062115,Almond, Max Labeled Rate,Chlorpyrifos
11/4/1993,0.0049806,Almond, Max Labeled Rate,Chlorpyrifos
11/5/1993,0.0048633,Almond, Max Labeled Rate,Chlorpyrifos
11/6/1993,0.0047742,Almond, Max Labeled Rate,Chlorpyrifos
11/7/1993,0.0046902,Almond, Max Labeled Rate,Chlorpyrifos
11/8/1993,0.0046074,Almond, Max Labeled Rate,Chlorpyrifos
11/9/1993,0.0045256,Almond, Max Labeled Rate,Chlorpyrifos
11/10/1993,0.0044452,Almond, Max Labeled Rate,Chlorpyrifos
11/11/1993,0.004366,Almond, Max Labeled Rate,Chlorpyrifos
11/12/1993,0.0042883,Almond, Max Labeled Rate,Chlorpyrifos
11/13/1993,0.0042119,Almond, Max Labeled Rate,Chlorpyrifos
11/14/1993,0.0041363,Almond, Max Labeled Rate,Chlorpyrifos
11/15/1993,0.27596,Almond, Max Labeled Rate,Chlorpyrifos
11/16/1993,0.010588,Almond, Max Labeled Rate,Chlorpyrifos
11/17/1993,0.0041602,Almond, Max Labeled Rate,Chlorpyrifos
11/18/1993,1.2122,Almond, Max Labeled Rate,Chlorpyrifos
11/19/1993,0.029691,Almond, Max Labeled Rate,Chlorpyrifos
11/20/1993,0.0047665,Almond, Max Labeled Rate,Chlorpyrifos
11/21/1993,0.0040764,Almond, Max Labeled Rate,Chlorpyrifos
11/22/1993,0.0039895,Almond, Max Labeled Rate,Chlorpyrifos
11/23/1993,0.003919,Almond, Max Labeled Rate,Chlorpyrifos
11/24/1993,0.0038497,Almond, Max Labeled Rate,Chlorpyrifos
11/25/1993,0.0037814,Almond, Max Labeled Rate,Chlorpyrifos
11/26/1993,0.0037149,Almond, Max Labeled Rate,Chlorpyrifos
11/27/1993,0.0036491,Almond, Max Labeled Rate,Chlorpyrifos
11/28/1993,6.4968,Almond, Max Labeled Rate,Chlorpyrifos
11/29/1993,2.3841,Almond, Max Labeled Rate,Chlorpyrifos
11/30/1993,0.044313,Almond, Max Labeled Rate,Chlorpyrifos
12/1/1993,0.0068127,Almond, Max Labeled Rate,Chlorpyrifos
12/2/1993,0.0057795,Almond, Max Labeled Rate,Chlorpyrifos
12/3/1993,0.0056544,Almond, Max Labeled Rate,Chlorpyrifos
12/4/1993,0.0055545,Almond, Max Labeled Rate,Chlorpyrifos
12/5/1993,3.8729,Almond, Max Labeled Rate,Chlorpyrifos
12/6/1993,0.044585,Almond, Max Labeled Rate,Chlorpyrifos
12/7/1993,0.0073052,Almond, Max Labeled Rate,Chlorpyrifos
12/8/1993,0.0062709,Almond, Max Labeled Rate,Chlorpyrifos
12/9/1993,0.0061381,Almond, Max Labeled Rate,Chlorpyrifos
12/10/1993,0.006029,Almond, Max Labeled Rate,Chlorpyrifos
12/11/1993,0.65505,Almond, Max Labeled Rate,Chlorpyrifos
12/12/1993,0.020026,Almond, Max Labeled Rate,Chlorpyrifos
12/13/1993,0.0062511,Almond, Max Labeled Rate,Chlorpyrifos
12/14/1993,0.0058081,Almond, Max Labeled Rate,Chlorpyrifos
12/15/1993,0.0056982,Almond, Max Labeled Rate,Chlorpyrifos
12/16/1993,0.0055982,Almond, Max Labeled Rate,Chlorpyrifos
12/17/1993,0.0055007,Almond, Max Labeled Rate,Chlorpyrifos
12/18/1993,0.0054048,Almond, Max Labeled Rate,Chlorpyrifos
12/19/1993,0.0053089,Almond, Max Labeled Rate,Chlorpyrifos
12/20/1993,0.005217,Almond, Max Labeled Rate,Chlorpyrifos
12/21/1993,0.011841,Almond, Max Labeled Rate,Chlorpyrifos
12/22/1993,0.90515,Almond, Max Labeled Rate,Chlorpyrifos
12/23/1993,0.022929,Almond, Max Labeled Rate,Chlorpyrifos
12/24/1993,0.0055633,Almond, Max Labeled Rate,Chlorpyrifos
12/25/1993,0.0050443,Almond, Max Labeled Rate,Chlorpyrifos
12/26/1993,0.0049451,Almond, Max Labeled Rate,Chlorpyrifos
12/27/1993,0.0048595,Almond, Max Labeled Rate,Chlorpyrifos
12/28/1993,0.0047754,Almond, Max Labeled Rate,Chlorpyrifos
12/29/1993,0.0046928,Almond, Max Labeled Rate,Chlorpyrifos
12/30/1993,0.0046106,Almond, Max Labeled Rate,Chlorpyrifos
12/31/1993,0.0045314,Almond, Max Labeled Rate,Chlorpyrifos
1/1/1994,0.0044533,Almond, Max Labeled Rate,Chlorpyrifos
1/2/1994,0.0043762,Almond, Max Labeled Rate,Chlorpyrifos
1/3/1994,0.0043006,Almond, Max Labeled Rate,Chlorpyrifos
1/4/1994,0.0042261,Almond, Max Labeled Rate,Chlorpyrifos
1/5/1994,0.23244,Almond, Max Labeled Rate,Chlorpyrifos
1/6/1994,0.0094521,Almond, Max Labeled Rate,Chlorpyrifos
1/7/1994,0.0042075,Almond, Max Labeled Rate,Chlorpyrifos
1/8/1994,0.99869,Almond, Max Labeled Rate,Chlorpyrifos
1/9/1994,0.021794,Almond, Max Labeled Rate,Chlorpyrifos
1/10/1994,0.0045904,Almond, Max Labeled Rate,Chlorpyrifos
1/11/1994,0.0040923,Almond, Max Labeled Rate,Chlorpyrifos
1/12/1994,0.0040115,Almond, Max Labeled Rate,Chlorpyrifos
1/13/1994,0.0039419,Almond, Max Labeled Rate,Chlorpyrifos
1/14/1994,0.0038741,Almond, Max Labeled Rate,Chlorpyrifos
1/15/1994,0.0038069,Almond, Max Labeled Rate,Chlorpyrifos
1/16/1994,0.0037418,Almond, Max Labeled Rate,Chlorpyrifos
